"Kind","Label","Amount","Detail"
"note","Living Room · Floor finish — whole room","9982","28.52 m2 × 350"
"note","Living Room · Ceiling finish — whole room","2282","28.52 m2 × 80"
"note","Living Room · Wall finish — room face","1042","17.36 m2 × 60"
"note","Living Room · Wall finish — room face","773","12.88 m2 × 60"
"note","Living Room · Wall finish — room face","928","15.47 m2 × 60"
"note","Living Room · Wall finish — room face","632","10.54 m2 × 60"
"note","Living Room · Ceramic Display Vase","1200","1 each × 1200"
"note","Living Room · Display Sculpture","1200","1 each × 1200"
"note","Living Room · Contemporary Ceiling Fan","1200","1 each × 1200"
"note","Living Room · Full Height Curtain Set","1200","1 each × 1200"
"note","Living Room · Three Seat Sofa","1200","1 each × 1200"
"note","Living Room · Lounge Chair","1200","1 each × 1200"
"note","Living Room · Coffee Table","1200","1 each × 1200"
"note","Living Room · Side Table","1200","1 each × 1200"
"note","Living Room · Floating TV Console","1200","1 each × 1200"
"note","Living Room · Area Rug","1200","1 each × 1200"
"note","Living Room · Wall Mirror","1200","1 each × 1200"
"note","Living Room · Floor Lamp","1200","1 each × 1200"
"note","Living Room · Indoor Plant","1200","1 each × 1200"
"cabinet","C01 · Wardrobe Wall","4801","Workshop 4,801 · finish premium 196"
"cabinet","C02 · Base Cabinet · 900","2083","Workshop 2,083 · finish premium 34"
"finish-premium","Finish premium (10%)","230","Applied on finish surface costs"
"markup","Markup (18%)","6904",""
"tax","Tax (18%)","8146",""
"total","Quote total","53403","Rev A"
