"Shop Ref","Cabinet","Part","Category","Material","Finish","Edge","Thickness mm","Qty","Length mm","Width mm","Grain","Notes"
"C01-P01","base 900","Left Side Panel","Side","PLY","wood-oak","abs-1mm","18","1","720","560","lengthwise","Butt joint with confirmat/screw fixings"
"C01-P02","base 900","Right Side Panel","Side","PLY","wood-oak","abs-1mm","18","1","720","560","lengthwise","Butt joint with confirmat/screw fixings"
"C01-P03","base 900","Top Panel","TopBottom","PLY","wood-oak","abs-1mm","18","1","864","560","lengthwise","Butt joint with confirmat/screw fixings"
"C01-P04","base 900","Bottom Panel","TopBottom","PLY","wood-oak","abs-1mm","18","1","864","560","lengthwise","Butt joint with confirmat/screw fixings"
"C01-P05","base 900","Back Panel","Back","PLY","wood-oak","none","6","1","596","876","lengthwise","Grooved into side panels (12mm rebate)"
"C01-P06","base 900","Adjustable Shelf","Shelf","PLY","wood-oak","abs-1mm","18","1","864","524","lengthwise","Adjustable on shelf pins; front edge setback"
"C01-P07","base 900","Vertical Divider","Divider","PLY","wood-oak","abs-1mm","18","1","584","252","lengthwise","Fixed assembly divider"
"C01-P08","base 900","Door Opening","Door","MDF","wood-oak","abs-1mm","18","2","612","446","lengthwise","Overlay mount"
"C01-P09","base 900","Toe Kick","ToeKick","PLY","wood-oak","abs-1mm","18","1","864","100","crosswise",""
"C02-P01","wall 900","Left Side Panel","Side","PLY","white-matte","abs-1mm","18","1","720","350","lengthwise","Top and bottom housed in side dados"
"C02-P02","wall 900","Right Side Panel","Side","PLY","white-matte","abs-1mm","18","1","720","350","lengthwise","Top and bottom housed in side dados"
"C02-P03","wall 900","Top Panel","TopBottom","PLY","white-matte","abs-1mm","18","1","864","350","lengthwise","Top and bottom housed in side dados"
"C02-P04","wall 900","Bottom Panel","TopBottom","PLY","white-matte","abs-1mm","18","1","864","350","lengthwise","Top and bottom housed in side dados"
"C02-P05","wall 900","Back Panel","Back","PLY","white-matte","none","6","1","696","876","lengthwise","Grooved into side panels (12mm rebate)"
"C02-P06","wall 900","Adjustable Shelf","Shelf","PLY","white-matte","abs-1mm","18","1","864","314","lengthwise","Adjustable on shelf pins; front edge setback"
"C02-P07","wall 900","Vertical Divider","Divider","PLY","white-matte","abs-1mm","18","1","684","158","lengthwise","Fixed assembly divider"
"C02-P08","wall 900","Door Opening","Door","MDF","white-matte","abs-1mm","18","2","712","446","lengthwise","Overlay mount"
"C03-P01","tall 600","Left Side Panel","Side","PLY","wood-walnut","abs-1mm","18","1","2100","560","lengthwise","Butt joint with confirmat/screw fixings"
"C03-P02","tall 600","Right Side Panel","Side","PLY","wood-walnut","abs-1mm","18","1","2100","560","lengthwise","Butt joint with confirmat/screw fixings"
"C03-P03","tall 600","Top Panel","TopBottom","PLY","wood-walnut","abs-1mm","18","1","564","560","lengthwise","Butt joint with confirmat/screw fixings"
"C03-P04","tall 600","Bottom Panel","TopBottom","PLY","wood-walnut","abs-1mm","18","1","564","560","lengthwise","Butt joint with confirmat/screw fixings"
"C03-P05","tall 600","Back Panel","Back","PLY","wood-walnut","none","6","1","1976","576","lengthwise","Grooved into side panels (12mm rebate)"
"C03-P06","tall 600","Adjustable Shelf","Shelf","PLY","wood-walnut","abs-1mm","18","4","564","524","lengthwise","Adjustable on shelf pins; front edge setback"
"C03-P07","tall 600","Pantry Opening","Door","MDF","wood-walnut","abs-1mm","18","2","1992","296","lengthwise","Overlay mount"
"C03-P08","tall 600","Left End Panel","EndPanel","PLY","wood-walnut","abs-1mm","18","1","2100","560","lengthwise",""
"C03-P09","tall 600","Right End Panel","EndPanel","PLY","wood-walnut","abs-1mm","18","1","2100","560","lengthwise",""
"C03-P10","tall 600","Toe Kick","ToeKick","PLY","wood-walnut","abs-1mm","18","1","564","100","crosswise",""
"C04-P01","drawer 900","Left Side Panel","Side","PLY","grey","abs-1mm","18","1","720","560","lengthwise","Butt joint with confirmat/screw fixings"
"C04-P02","drawer 900","Right Side Panel","Side","PLY","grey","abs-1mm","18","1","720","560","lengthwise","Butt joint with confirmat/screw fixings"
"C04-P03","drawer 900","Top Panel","TopBottom","PLY","grey","abs-1mm","18","1","864","560","lengthwise","Butt joint with confirmat/screw fixings"
"C04-P04","drawer 900","Bottom Panel","TopBottom","PLY","grey","abs-1mm","18","1","864","560","lengthwise","Butt joint with confirmat/screw fixings"
"C04-P05","drawer 900","Back Panel","Back","PLY","grey","none","6","1","596","876","lengthwise","Grooved into side panels (12mm rebate)"
"C04-P06","drawer 900","Drawer Stack Front","DrawerFront","MDF","grey","abs-1mm","18","3","189","860","lengthwise","Overlay front"
"C04-P07","drawer 900","Drawer Side","DrawerBox","PLY","laminate","none","12","6","534","140","lengthwise","Drawer bottom housed in side grooves"
"C04-P08","drawer 900","Drawer Front/Back","DrawerBox","PLY","laminate","none","12","6","838","140","lengthwise","Drawer bottom housed in side grooves"
"C04-P09","drawer 900","Drawer Bottom","DrawerBox","PLY","laminate","none","6","3","850","546","crosswise","Bottom housed in side grooves"
"C04-P10","drawer 900","Toe Kick","ToeKick","PLY","grey","abs-1mm","18","1","864","100","crosswise",""
