"Shop Ref","Cabinet","Part","Category","Material","Finish","Edge","Thickness mm","Qty","Length mm","Width mm","Grain","Notes"
"C01-P01","Base Cabinet","Left Side Panel","Side","PLY","wood-oak","abs-1mm","18","1","720","560","lengthwise","Butt joint with confirmat/screw fixings"
"C01-P02","Base Cabinet","Right Side Panel","Side","PLY","wood-oak","abs-1mm","18","1","720","560","lengthwise","Butt joint with confirmat/screw fixings"
"C01-P03","Base Cabinet","Top Panel","TopBottom","PLY","wood-oak","abs-1mm","18","1","864","560","lengthwise","Butt joint with confirmat/screw fixings"
"C01-P04","Base Cabinet","Bottom Panel","TopBottom","PLY","wood-oak","abs-1mm","18","1","864","560","lengthwise","Butt joint with confirmat/screw fixings"
"C01-P05","Base Cabinet","Back Panel","Back","PLY","wood-oak","none","6","1","596","876","lengthwise","Grooved into side panels (12mm rebate)"
"C01-P06","Base Cabinet","Adjustable Shelf","Shelf","PLY","wood-oak","abs-1mm","18","1","864","524","lengthwise","Adjustable on shelf pins; front edge setback"
"C01-P07","Base Cabinet","Vertical Divider","Divider","PLY","wood-oak","abs-1mm","18","1","584","252","lengthwise","Fixed assembly divider"
"C01-P08","Base Cabinet","Door Opening","Door","MDF","wood-oak","abs-1mm","18","2","612","446","lengthwise","Overlay mount"
"C01-P09","Base Cabinet","Toe Kick","ToeKick","PLY","wood-oak","abs-1mm","18","1","864","100","crosswise",""
"C02-P01","Drawer Cabinet","Left Side Panel","Side","PLY","grey","abs-1mm","18","1","720","560","lengthwise","Butt joint with confirmat/screw fixings"
"C02-P02","Drawer Cabinet","Right Side Panel","Side","PLY","grey","abs-1mm","18","1","720","560","lengthwise","Butt joint with confirmat/screw fixings"
"C02-P03","Drawer Cabinet","Top Panel","TopBottom","PLY","grey","abs-1mm","18","1","864","560","lengthwise","Butt joint with confirmat/screw fixings"
"C02-P04","Drawer Cabinet","Bottom Panel","TopBottom","PLY","grey","abs-1mm","18","1","864","560","lengthwise","Butt joint with confirmat/screw fixings"
"C02-P05","Drawer Cabinet","Back Panel","Back","PLY","grey","none","6","1","596","876","lengthwise","Grooved into side panels (12mm rebate)"
"C02-P06","Drawer Cabinet","Drawer Stack Front","DrawerFront","MDF","grey","abs-1mm","18","3","189","860","lengthwise","Overlay front"
"C02-P07","Drawer Cabinet","Drawer Side","DrawerBox","PLY","laminate","none","12","6","534","140","lengthwise","Drawer bottom housed in side grooves"
"C02-P08","Drawer Cabinet","Drawer Front/Back","DrawerBox","PLY","laminate","none","12","6","838","140","lengthwise","Drawer bottom housed in side grooves"
"C02-P09","Drawer Cabinet","Drawer Bottom","DrawerBox","PLY","laminate","none","6","3","850","546","crosswise","Bottom housed in side grooves"
"C02-P10","Drawer Cabinet","Toe Kick","ToeKick","PLY","grey","abs-1mm","18","1","864","100","crosswise",""
