"Shop Ref","Cabinet","Part","Category","Material","Finish","Edge","Thickness mm","Qty","Length mm","Width mm","Grain","Notes"
"C01-P01","Wardrobe Wall","Left Side Panel","Side","PLY","wood-walnut","abs-1mm","18","1","2400","600","lengthwise","Butt joint with confirmat/screw fixings"
"C01-P02","Wardrobe Wall","Right Side Panel","Side","PLY","wood-walnut","abs-1mm","18","1","2400","600","lengthwise","Butt joint with confirmat/screw fixings"
"C01-P03","Wardrobe Wall","Top Panel","TopBottom","PLY","wood-walnut","abs-1mm","18","1","864","600","lengthwise","Butt joint with confirmat/screw fixings"
"C01-P04","Wardrobe Wall","Bottom Panel","TopBottom","PLY","wood-walnut","abs-1mm","18","1","864","600","lengthwise","Butt joint with confirmat/screw fixings"
"C01-P05","Wardrobe Wall","Back Panel","Back","PLY","wood-walnut","none","6","1","2296","876","lengthwise","Grooved into side panels (12mm rebate)"
"C01-P06","Wardrobe Wall","Adjustable Shelf","Shelf","PLY","wood-walnut","abs-1mm","18","5","864","564","lengthwise","Adjustable on shelf pins; front edge setback"
"C01-P07","Wardrobe Wall","Vertical Divider","Divider","PLY","wood-walnut","abs-1mm","18","1","2284","270","lengthwise","Fixed assembly divider"
"C01-P08","Wardrobe Wall","Wardrobe Opening","Door","MDF","wood-walnut","abs-1mm","18","2","2312","446","lengthwise","Overlay mount"
"C01-P09","Wardrobe Wall","Left End Panel","EndPanel","PLY","wood-walnut","abs-1mm","18","1","2400","600","lengthwise",""
"C01-P10","Wardrobe Wall","Right End Panel","EndPanel","PLY","wood-walnut","abs-1mm","18","1","2400","600","lengthwise",""
"C01-P11","Wardrobe Wall","Toe Kick","ToeKick","PLY","wood-walnut","abs-1mm","18","1","864","80","crosswise",""
"C02-P01","Base Cabinet · 900","Left Side Panel","Side","PLY","wood-oak","abs-1mm","18","1","900","600","lengthwise","Butt joint with confirmat/screw fixings"
"C02-P02","Base Cabinet · 900","Right Side Panel","Side","PLY","wood-oak","abs-1mm","18","1","900","600","lengthwise","Butt joint with confirmat/screw fixings"
"C02-P03","Base Cabinet · 900","Top Panel","TopBottom","PLY","wood-oak","abs-1mm","18","1","864","600","lengthwise","Butt joint with confirmat/screw fixings"
"C02-P04","Base Cabinet · 900","Bottom Panel","TopBottom","PLY","wood-oak","abs-1mm","18","1","864","600","lengthwise","Butt joint with confirmat/screw fixings"
"C02-P05","Base Cabinet · 900","Back Panel","Back","PLY","wood-oak","none","6","1","776","876","lengthwise","Grooved into side panels (12mm rebate)"
"C02-P06","Base Cabinet · 900","Adjustable Shelf","Shelf","PLY","wood-oak","abs-1mm","18","1","864","564","lengthwise","Adjustable on shelf pins; front edge setback"
"C02-P07","Base Cabinet · 900","Vertical Divider","Divider","PLY","wood-oak","abs-1mm","18","1","764","270","lengthwise","Fixed assembly divider"
"C02-P08","Base Cabinet · 900","Door Opening","Door","MDF","wood-oak","abs-1mm","18","2","792","446","lengthwise","Overlay mount"
"C02-P09","Base Cabinet · 900","Toe Kick","ToeKick","PLY","wood-oak","abs-1mm","18","1","864","100","crosswise",""
